,Card_name,Card_type,Card_number
1,輝光竜セイファート,モンスター,1
2,アブソルーター・ドラゴン,モンスター,2
3,ヴァレット・トレーサー,モンスター,3
4,ヴァレット・シンクロン,モンスター,1
5,ヴァレット・リチャージャー,モンスター,1
6,灰流うらら,モンスター,2
7,原始生命態ニビル,モンスター,1
8,混源龍レヴィオニア,モンスター,1
9,暗黒竜 コラプサーペント,モンスター,1
10,輝白竜 ワイバースター,モンスター,2
11,マグナヴァレット・ドラゴン,モンスター,1
12,メタルヴァレット・ドラゴン,モンスター,1
14,ノクトビジョン・ドラゴン,モンスター,1
17,リボルブート・セクター,魔法,1
18,クイック・リボルブ,魔法,3
19,竜の渓谷,魔法,1
20,混沌領域,魔法,3
21,サンダー・ボルト,魔法,1
22,ハーピィの羽根帚,魔法,1
23,龍の鏡,魔法,1
24,星遺物の守護竜,魔法,2
25,マスク・チェンジ・セカンド,魔法,1
26,墓穴の指名者,魔法,2
27,王宮の勅命,罠,1
28,ブレイクスルー・スキル,罠,1
39,トロイメア・ユニコーン,モンスター,1
40,混沌魔龍 カオス・ルーラー,モンスター,1
